-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope
051204050722nantes.txt - Feb_8._2005_11:50:32_AM	578.1949	0.3241	0.4361	0.6475	0.0000	0.6759	2.3964	2.1655	0.1500	52.7900	-0.2638	-3.4673	0.3350	0.0028	1.4796	-2.8198	2.1348	0.6616	-1.5000	0.0300	0.1796	1.8394	-2.4127
051204050722nantes.txt - Feb_8._2005_12:07:03_PM	535.8448	0.3187	0.3999	0.5404	0.0000	0.6813	2.4266	2.1096	0.2100	61.3400	-0.4249	-3.8547	0.3350	0.2879	1.4036	-3.0461	3.0036	0.4733	-1.2448	0.0666	0.1129	1.8073	-2.9114
051204050722nantes.txt - Feb_8._2005_12:25:39_PM	503.6339	0.4007	0.3295	0.4144	0.0000	0.5993	2.9235	2.0111	0.5400	54.5700	-0.6285	-3.9292	0.3350	0.2683	1.3882	-3.1762	3.3811	0.2924	-1.1211	0.0742	0.0805	1.5427	-3.0966
051204050722nantes.txt - Feb_8._2005_12:44:38_PM	287.2631	0.1398	0.1109	0.4779	0.0000	0.8602	1.4328	2.1008	0.0600	34.4600	-1.6688	-4.5338	0.3350	0.0896	1.4627	-2.6638	2.5276	-0.8408	-1.4440	0.0206	0.1381	-0.0665	-2.1927
051204050722nantes.txt - Feb_8._2005_1:01:04_PM	301.6260	0.1748	0.1450	0.4090	0.0000	0.8252	1.5126	2.1220	0.1200	46.5400	-1.3001	-4.7043	0.3350	0.1935	1.4497	-3.0102	2.8403	-0.2962	-1.3637	0.0406	0.1239	0.4843	-1.7026
051204050722nantes.txt - Feb_8._2005_1:44:38_PM	286.0614	0.1555	0.1378	0.3846	0.0000	0.8445	1.4239	2.0759	0.1200	35.5900	-1.3815	-4.2702	0.3350	0.1409	1.4578	-3.1003	3.1806	-0.4124	-1.2281	0.0130	0.1338	0.7825	-2.0755
051204050722nantes.txt - Feb_8._2005_2:22:08_PM	302.7632	0.1914	0.1879	0.4727	0.0000	0.8086	1.6258	2.0402	0.1200	36.9500	-1.1242	-5.1352	0.3350	0.0989	1.4204	-3.0110	2.7227	-0.0623	-1.4146	0.0422	0.1290	0.5821	-2.0385
051204050722nantes.txt - Feb_8._2005_2:38:03_PM	338.5877	0.2237	0.2326	0.4848	0.0000	0.7763	1.9297	2.0672	0.1200	49.5900	-1.0234	-3.9798	0.3350	0.2468	1.4512	-3.0052	3.1564	-0.1569	-1.2254	0.0399	0.1154	0.8281	-2.1605
051204050722nantes.txt - Feb_8._2005_2:54:38_PM	342.0086	0.3298	0.2401	0.5044	0.0000	0.6702	2.6053	1.9767	0.3000	57.9500	-0.6364	-3.8459	0.3350	0.1138	1.5337	-3.1061	2.4676	0.4400	-1.3920	0.0127	0.1879	1.3884	-2.5094
051204050722nantes.txt - Feb_8._2005_3:10:09_PM	334.0885	0.1940	0.1767	0.4663	0.0000	0.8060	1.7681	2.0804	0.1200	36.5400	-1.2360	-4.0216	0.3350	0.1329	1.4792	-3.0569	3.1854	-0.3417	-1.1981	0.0120	0.1471	0.8336	-2.0433
051204050722nantes.txt - Feb_9._2005_11:33:53_AM	311.1380	0.2032	0.1399	0.4538	0.0000	0.7968	1.8255	2.0783	0.0900	36.4600	-1.3752	-4.8673	0.3350	0.0234	1.4585	-3.0931	2.8512	-0.3457	-1.3042	0.0171	0.1556	0.5232	-1.5168
